timestamp_utc,pressure,temperature,setpoint_status
2025-08-01T21:49:34,0.3281,31.49,
2025-08-01T21:49:36,0.3289,31.49,
2025-08-01T21:49:38,0.3292,31.49,
2025-08-01T21:49:41,0.3283,31.49,
2025-08-01T21:49:43,0.328,31.49,
2025-08-01T21:49:45,1.893,31.48,
2025-08-01T21:49:48,1.589,31.48,
2025-08-01T21:49:50,0.3801,31.49,
2025-08-01T21:49:52,0.3393,31.49,
2025-08-01T21:49:55,0.3313,31.49,
2025-08-01T21:49:57,0.3292,31.5,
2025-08-01T21:49:59,0.328,31.5,
2025-08-01T21:50:02,0.3289,31.49,
2025-08-01T21:50:04,0.3287,31.5,
2025-08-01T21:50:06,0.328,31.49,
2025-08-01T21:50:09,0.3286,31.5,
2025-08-01T21:50:11,0.3284,31.49,
2025-08-01T21:50:13,1.737,31.49,
2025-08-01T21:50:16,0.4173,31.5,
2025-08-01T21:50:18,0.3504,31.5,
2025-08-01T21:50:20,0.3341,31.5,
2025-08-01T21:50:23,0.329,31.51,
2025-08-01T21:50:25,0.3288,31.51,
2025-08-01T21:50:27,0.3279,31.5,
2025-08-01T21:50:30,0.3295,31.51,
2025-08-01T21:50:32,0.3294,31.51,
2025-08-01T21:50:34,0.33,31.5,
2025-08-01T21:50:37,0.33,31.51,
2025-08-01T21:50:39,0.3299,31.51,
2025-08-01T21:50:41,0.3301,31.51,
2025-08-01T21:50:44,0.3304,31.52,
2025-08-01T21:50:46,0.3298,31.51,
2025-08-01T21:50:48,0.3294,31.52,
2025-08-01T21:50:51,0.329,31.52,
2025-08-01T21:50:53,0.329,31.51,
2025-08-01T21:50:55,0.3289,31.52,
2025-08-01T21:50:58,0.3305,31.52,
2025-08-01T21:51:00,0.3296,31.52,
2025-08-01T21:51:02,0.3292,31.52,
2025-08-01T21:51:05,0.3296,31.52,
2025-08-01T21:51:07,0.33,31.52,
2025-08-01T21:51:09,0.3299,31.52,
2025-08-01T21:51:12,0.3289,31.52,
2025-08-01T21:51:14,0.3288,31.52,
2025-08-01T21:51:16,0.3288,31.52,
2025-08-01T21:51:19,0.3279,31.52,
2025-08-01T21:51:21,0.3294,31.52,
2025-08-01T21:51:23,0.3294,31.53,
2025-08-01T21:51:26,0.3292,31.53,
2025-08-01T21:51:28,0.3449,31.52,
2025-08-01T21:51:30,1.856,31.51,
2025-08-01T21:51:33,2.275,31.5,
2025-08-01T21:51:35,2.036,31.51,
2025-08-01T21:51:37,1.586,31.52,
2025-08-01T21:51:40,0.3998,31.53,
2025-08-01T21:51:42,0.3606,31.52,
2025-08-01T21:51:44,0.3455,31.53,
2025-08-01T21:51:47,0.3379,31.53,
2025-08-01T21:51:49,0.3339,31.53,
2025-08-01T21:51:51,0.3309,31.53,
2025-08-01T21:51:54,0.3305,31.53,
2025-08-01T21:51:56,0.3302,31.54,
2025-08-01T21:51:58,0.3291,31.54,
2025-08-01T21:52:01,0.3299,31.54,
2025-08-01T21:52:03,0.3295,31.54,
2025-08-01T21:52:05,0.3293,31.54,
2025-08-01T21:52:08,0.3292,31.54,
2025-08-01T21:52:10,0.3293,31.54,
2025-08-01T21:52:12,0.3282,31.54,
2025-08-01T21:52:15,0.3303,31.54,
2025-08-01T21:52:17,0.3286,31.55,
2025-08-01T21:52:19,0.33,31.55,
2025-08-01T21:52:21,0.3301,31.55,
2025-08-01T21:52:24,0.3287,31.55,
2025-08-01T21:52:26,0.3294,31.55,
2025-08-01T21:52:28,0.3294,31.55,
2025-08-01T21:52:31,0.5403,31.53,
2025-08-01T21:52:33,2.69,31.52,
2025-08-01T21:52:35,2.99,31.53,
2025-08-01T21:52:38,2.469,31.53,
2025-08-01T21:52:40,1.742,31.55,
2025-08-01T21:52:42,0.417,31.55,
2025-08-01T21:52:45,0.3618,31.55,
2025-08-01T21:52:47,0.3426,31.55,
2025-08-01T21:52:49,0.3356,31.56,
2025-08-01T21:52:52,0.3321,31.56,
2025-08-01T21:52:54,0.3311,31.56,
